id-query,id,kudos_delta,hits_delta,comments_delta,bookmarks_delta,words_delta,chapters_delta,modified_before_window,hits,kudos,comments,bookmarks,words,chapters,language,restricted,complete,crossover,date_queried,time_elapsed,query_batch
45202243-1,45202243,27,665,6,3,0,0,True,13045,404,66,36,107542,73,English,False,False,False,2023-11-12 00:54:59.749082,0 days 23:59:59.396450,1
22582852-0,22582852,28,923,19,3,0,0,False,45223,2178,989,479,93817,14,English,False,False,False,2023-11-11 23:54:52.917295,1 days 00:00:02.204755,0
47715553-0,47715553,0,33,0,0,0,0,False,665,11,0,3,21518,7,English,False,False,False,2023-11-11 23:54:52.919027,1 days 00:00:02.203877,0
51528592-0,51528592,0,47,0,0,0,0,False,0,0,0,0,563,1,English,False,False,True,2023-11-11 23:54:52.920057,1 days 00:00:02.203829,0
51528583-0,51528583,0,3,0,0,0,0,False,0,0,0,0,5321,2,中文-普通话 國語,False,True,False,2023-11-11 23:54:52.920943,1 days 00:00:02.203799,0
50836030-0,50836030,43,1407,85,10,0,0,False,12670,779,274,256,19276,14,English,False,False,True,2023-11-11 23:54:52.922054,1 days 00:00:02.203749,0
51528577-0,51528577,15,73,1,2,0,0,False,0,0,0,0,1176,1,English,False,True,False,2023-11-11 23:54:52.923398,1 days 00:00:02.203569,0
46128658-0,46128658,9,306,10,-1,0,0,False,12984,792,177,207,46190,13,English,False,False,False,2023-11-11 23:54:52.924699,1 days 00:00:02.203607,0
50947003-0,50947003,7,70,2,1,0,0,False,156,35,5,6,3336,2,English,False,False,False,2023-11-11 23:54:52.927908,1 days 00:00:02.202862,0
51528472-0,51528472,26,247,0,7,0,0,False,0,0,0,0,2151,1,English,False,True,False,2023-11-11 23:54:52.928986,1 days 00:00:02.202848,0
49128475-0,49128475,1,21,1,0,0,0,False,406,33,22,8,37291,8,English,False,False,False,2023-11-11 23:54:52.931467,1 days 00:00:02.201875,0
51528574-0,51528574,4,38,3,0,0,0,False,0,0,0,0,823,1,English,False,True,False,2023-11-11 23:54:52.932476,1 days 00:00:02.201883,0
51439162-0,51439162,54,801,11,6,0,0,False,1902,190,3,25,6708,6,English,False,True,False,2023-11-11 23:54:52.934515,1 days 00:00:02.201974,0
51528520-0,51528520,3,9,2,1,0,0,False,0,0,0,0,548,1,English,False,True,False,2023-11-11 23:54:52.936912,1 days 00:00:02.664989,0
51528568-0,51528568,1,4,0,0,0,0,False,0,1,0,0,733,1,English,False,True,False,2023-11-11 23:54:52.938028,1 days 00:00:02.664870,0
51431671-0,51431671,20,248,9,4,0,0,False,626,38,2,13,5240,4,English,False,False,False,2023-11-11 23:54:52.939726,1 days 00:00:02.665017,0
51528487-0,51528487,23,168,4,2,2,0,False,0,0,0,0,341,1,English,False,True,False,2023-11-11 23:54:53.424075,1 days 00:00:02.181879,0
50704288-0,50704288,1,50,0,0,0,0,False,150,12,2,0,300,3,English,False,True,False,2023-11-11 23:54:53.425227,1 days 00:00:02.181806,0
51528532-0,51528532,18,152,0,4,0,0,False,0,0,0,0,2876,1,English,False,False,False,2023-11-11 23:54:53.426554,1 days 00:00:02.181821,0
51383947-0,51383947,8,138,9,2,0,0,False,0,0,0,0,3282,1,English,False,True,False,2023-11-11 23:54:53.427879,1 days 00:00:02.183174,0
45901936-0,45901936,2,74,6,0,0,0,False,7511,321,239,39,90061,43,English,False,False,False,2023-11-11 23:54:53.429485,1 days 00:00:02.183154,0
49960795-0,49960795,0,7,2,0,0,0,False,182,11,3,1,18124,8,English,False,False,True,2023-11-11 23:54:53.430677,1 days 00:00:02.183163,0
49854859-0,49854859,5,140,0,0,0,0,False,403,16,0,1,638,5,English,False,True,False,2023-11-11 23:54:53.431797,1 days 00:00:02.183191,0
51500710-0,51500710,14,190,2,5,0,0,False,197,11,0,1,4194,2,English,False,False,False,2023-11-11 23:54:53.433414,1 days 00:00:02.183230,0
51527872-0,51527872,0,6,0,0,0,0,False,0,0,0,0,14308,5,中文-普通话 國語,False,True,False,2023-11-11 23:54:53.435327,1 days 00:00:02.182222,0
39603264-0,39603264,35,1648,6,1,0,0,False,228497,4916,1035,348,294212,75,English,False,False,False,2023-11-11 23:54:53.436549,1 days 00:00:02.182265,0
51528496-0,51528496,32,661,0,2,0,0,False,0,0,0,0,1665,1,English,False,True,False,2023-11-11 23:54:53.437631,1 days 00:00:02.184119,0
47519965-0,47519965,6,154,0,4,0,0,False,12461,420,93,53,311994,50,English,False,False,False,2023-11-11 23:54:53.442585,1 days 00:00:02.180544,0
51528550-0,51528550,2,25,0,0,0,0,False,0,0,0,0,201,1,English,False,False,False,2023-11-11 23:54:53.443829,1 days 00:00:02.180696,0
51527701-0,51527701,5,29,1,1,0,0,False,0,0,0,0,8705,1,English,False,True,False,2023-11-11 23:54:53.444959,1 days 00:00:02.180741,0
51528547-0,51528547,17,101,10,0,0,0,False,0,0,0,0,2648,1,Español,False,True,False,2023-11-11 23:54:53.446097,1 days 00:00:02.180914,0
51508216-0,51508216,3,42,1,0,0,0,False,0,0,0,0,3383,1,English,False,False,False,2023-11-11 23:54:53.447283,1 days 00:00:02.555084,0
50810983-0,50810983,3,32,0,0,0,0,False,205,23,16,1,14735,5,English,False,False,False,2023-11-11 23:54:53.449131,1 days 00:00:02.555166,0
50011183-0,50011183,6,122,2,2,0,0,False,1480,83,74,8,57285,8,English,False,True,False,2023-11-11 23:54:53.783757,1 days 00:00:02.222180,0
51528394-0,51528394,24,439,0,0,0,0,False,0,0,0,0,2068,1,Bahasa Indonesia,False,True,False,2023-11-11 23:54:53.784804,1 days 00:00:02.222177,0
51503878-0,51503878,1,14,0,0,0,0,False,14,0,0,1,16579,3,English,False,False,True,2023-11-11 23:54:53.785833,1 days 00:00:02.222184,0
51357487-0,51357487,35,273,7,8,0,0,False,515,72,30,8,10062,4,English,False,True,False,2023-11-11 23:54:53.787379,1 days 00:00:02.222260,0
51528382-1,51528382,30,240,4,7,0,0,True,0,0,0,0,10754,1,English,False,True,False,2023-11-12 00:55:02.492812,0 days 23:59:58.530121,1
47874214-0,47874214,4,148,7,1,0,0,False,3088,146,39,24,23679,15,English,False,False,True,2023-11-11 23:54:53.790685,1 days 00:00:02.220854,0
51527944-0,51527944,0,13,0,0,0,0,False,0,0,0,0,2124,1,English,False,False,False,2023-11-11 23:54:53.792169,1 days 00:00:02.220821,0
51515731-0,51515731,3,44,0,1,0,0,False,0,0,0,0,1295,1,English,False,True,True,2023-11-11 23:54:53.793299,1 days 00:00:02.220858,0
51528430-0,51528430,8,31,0,0,0,0,False,0,0,0,0,1326,1,English,False,False,False,2023-11-11 23:54:53.794480,1 days 00:00:02.220909,0
51528526-0,51528526,7,28,3,0,0,0,False,0,0,0,0,1546,1,English,False,False,True,2023-11-11 23:54:53.795593,1 days 00:00:02.220901,0
51528514-0,51528514,4,12,2,0,0,0,False,0,0,0,0,1826,1,English,False,True,False,2023-11-11 23:54:53.796519,1 days 00:00:02.220914,0
51528523-0,51528523,18,103,2,0,0,0,False,0,0,0,0,2045,1,English,False,True,False,2023-11-11 23:54:53.797682,1 days 00:00:02.220928,0
50835289-0,50835289,19,302,10,2,0,0,False,1025,96,22,5,11643,3,English,False,True,False,2023-11-11 23:54:53.800545,1 days 00:00:02.219594,0
51088906-0,51088906,16,326,5,2,0,0,False,2263,71,39,15,7799,5,English,False,False,True,2023-11-11 23:54:53.802884,1 days 00:00:02.219561,0
51528493-0,51528493,2,10,1,1,0,0,False,0,0,0,0,3531,1,English,False,True,False,2023-11-11 23:54:53.803988,1 days 00:00:02.219615,0
32878303-0,32878303,2,124,2,0,0,0,False,4981,149,60,23,69056,12,English,False,False,False,2023-11-11 23:54:53.806412,1 days 00:00:02.219578,0
51528427-0,51528427,3,16,0,0,0,0,False,0,0,0,0,3352,1,English,False,True,False,2023-11-11 23:54:53.807510,1 days 00:00:02.219562,0
51528502-0,51528502,12,82,0,1,0,0,False,0,0,0,0,5502,1,Français,False,True,False,2023-11-11 23:54:53.808892,1 days 00:00:02.219577,0
51528019-0,51528019,2,8,0,0,0,0,False,0,0,0,0,1000,1,English,False,True,False,2023-11-11 23:54:53.809901,1 days 00:00:02.219707,0
42719685-0,42719685,2,86,26,0,0,0,False,14169,586,663,48,52037,54,English,False,False,False,2023-11-11 23:54:54.259491,1 days 00:00:02.179738,0
51528145-1,51528145,2,9,1,1,0,0,True,0,0,0,0,14241,5,English,False,False,False,2023-11-12 00:55:02.043733,0 days 23:59:58.333001,1
49335748-0,49335748,0,7,0,0,-2,0,False,287,5,38,2,49679,20,English,False,False,False,2023-11-11 23:54:54.263267,1 days 00:00:02.177414,0
47685325-0,47685325,0,30,5,0,-1,0,False,371,14,8,4,10500,8,English,False,False,False,2023-11-11 23:54:54.264419,1 days 00:00:02.177389,0
51353995-0,51353995,9,1255,0,6,0,0,False,3401,21,0,14,8375,4,English,False,False,False,2023-11-11 23:54:54.265746,1 days 00:00:02.177370,0
51528490-0,51528490,3,95,0,0,0,0,False,0,0,0,0,604,1,English,False,True,False,2023-11-11 23:54:54.268234,1 days 00:00:02.176015,0
25606882-0,25606882,18,1332,24,1,0,0,False,736325,17262,9145,4615,237848,103,English,False,False,False,2023-11-11 23:54:54.270364,1 days 00:00:02.175884,0
51528376-0,51528376,137,565,19,24,-7,0,False,0,0,0,0,3348,1,English,False,False,False,2023-11-11 23:54:54.271716,1 days 00:00:02.175622,0
51528481-0,51528481,38,157,3,2,92,0,False,0,0,0,0,1610,1,English,False,False,False,2023-11-11 23:54:54.273061,1 days 00:00:02.175502,0
51528475-0,51528475,5,18,0,0,0,0,False,0,0,0,0,572,1,English,False,True,False,2023-11-11 23:54:54.274702,1 days 00:00:02.175349,0
51528469-12,51528469,12,219,0,1,-2,0,True,177,17,0,1,2101,1,English,False,False,False,2023-11-12 11:55:00.416866,1 days 00:00:00.930008,12
51528466-0,51528466,5,34,2,1,0,0,False,0,0,0,0,527,1,English,False,True,False,2023-11-11 23:54:54.277393,1 days 00:00:02.174033,0
24530701-0,24530701,1,33,2,0,0,0,False,4164,102,162,6,83140,21,English,False,False,False,2023-11-11 23:54:54.279452,1 days 00:00:02.173978,0
50783662-0,50783662,3,55,6,0,0,0,False,212,16,8,6,30349,5,English,False,False,False,2023-11-11 23:54:54.280632,1 days 00:00:02.175077,0
34902223-0,34902223,2,106,14,1,0,0,False,27283,631,2921,74,290422,98,English,False,False,True,2023-11-11 23:54:54.283127,1 days 00:00:02.175034,0
51484819-0,51484819,0,13,0,0,0,0,False,3,0,0,0,660,1,English,False,True,False,2023-11-11 23:54:54.284122,1 days 00:00:02.175059,0
51528460-0,51528460,0,21,0,0,0,0,False,0,0,0,0,1397,1,English,False,True,False,2023-11-11 23:54:54.285022,1 days 00:00:02.175050,0
51066913-1,51066913,5,126,12,0,0,0,True,1322,41,19,5,72740,8,English,False,False,True,2023-11-12 00:55:03.273473,0 days 23:59:58.050276,1
51466459-0,51466459,4,6,1,0,0,0,False,0,0,0,0,1150,1,English,False,True,False,2023-11-11 23:54:54.677522,1 days 00:00:01.783628,0
