,Tag Name,Metatag Name
0,Student Han Jisung | Han,Education
1,Student Han Jisung | Han,Students
2,Psychological Horror,Horror
3,Bottom Fēng Xìn (Tiān Guān Cì Fú),Bottoming
4,Fay (Star Fox),Fay
5,Transfeminine Leonardo (TMNT),Trans
6,Transfeminine Leonardo (TMNT),Trans Leo
7,Transfeminine Leonardo (TMNT),Gender Related
8,Transfeminine Leonardo (TMNT),Trans Leonardo (TMNT)
9,Transfeminine Leonardo (TMNT),LGBTQ Themes
10,Transfeminine Leonardo (TMNT),Trans Character
11,Transfeminine Leonardo (TMNT),LGBTQ Character
12,Eventual Adora/Catra (She-Ra),Eventual Relationships
13,Eventual Adora/Catra (She-Ra),Relationship(s)
14,Period-Typical Underage,Underage - Freeform
15,Period-Typical Underage,Period Typical Attitudes
16,The Lion Guard (Cartoon),Disney Theatrical Animated Universe
17,Charlie Conway,Charlie
18,Hybrid Francisco Miguel | ForeverPlayer,Hybrids
19,Mike Wheeler Has PTSD,Post-Traumatic Stress Disorder - PTSD
20,Mike Wheeler Has PTSD,Mental Health Issues
21,Mike Wheeler Has PTSD,Trauma
22,Hurt Derek Hale,Hurt
23,Aragorn (Tolkien) & Original Female Character(s),Aragorn (Tolkien) & Original Character(s)
24,Rory Hawthorne,Rory
25,Calypso (Percy Jackson),Calypso
26,Rope Bondage,BDSM
27,Rope Bondage,Bondage
28,Kim Seokjin | Jin Has a Big Dick,Size Kink
29,Kim Seokjin | Jin Has a Big Dick,Penises
30,Kim Seokjin | Jin Has a Big Dick,Penis Size
31,Kim Seokjin | Jin Has a Big Dick,Kinks
32,Kim Seokjin | Jin Has a Big Dick,Large Cock
33,Alternate Universe - Top Gun Fusion,Crossovers & Fandom Fusions
34,Alternate Universe - Top Gun Fusion,Alternate Universe
35,Alternate Universe - Top Gun Fusion,Alternate Universe - Fusion
36,Bottom Trafalgar D. Water Law,Bottoming
37,Embarrassed Bakugou Katsuki,Embarrassment
38,Lesbian Columbina (Genshin Impact),Gay
39,Lesbian Columbina (Genshin Impact),LGBTQ Themes
40,Lesbian Columbina (Genshin Impact),Homosexuality
41,Lesbian Columbina (Genshin Impact),Female Homosexuality
42,Lesbian Columbina (Genshin Impact),Gay Character
